parent_page_id,lang,child_id,child_title,child_name,parent_name,link,content,content_txt
15,us,17,How much does shipping cost?,how-much-does-shipping-cost,delivery,https://stickerapp.com/support/delivery/how-much-does-shipping-cost,"<p>Standard shipping is free within the U.S.A., E.U., and Canada.</p>
<p>Shipping to Australia and New Zealand is $5.00.</p>
<p>Shipping to other countries is an additional charge and sent with Fedex.</p>
<p>&nbsp;</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Our sticker materials"" href=""https://stickerapp.com/materials"">Sticker materials</a> <a class=""btn btn-primary"" title=""Print custom stickers"" href=""https://stickerapp.com/custom-stickers"">Print stickers</a></p>","Standard shipping is free within the U.S.A., E.U., and Canada.
Shipping to Australia and New Zealand is $5.00.
Shipping to other countries is an additional charge and sent with Fedex.
 
Sticker materials Print stickers"
15,us,18,Can you blind ship my order?,can-we-blind-ship,delivery,https://stickerapp.com/support/delivery/can-we-blind-ship,"<p>Unfortunately we do not offer a blind shipping option. However, we can pack your stickers without any StickerApp branding material.</p>
<p>Please send an email if you are interested in this option for your shipments.</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Our sticker materials"" href=""https://stickerapp.com/materials"">Sticker materials</a> <a class=""btn btn-primary"" title=""Print custom stickers"" href=""https://stickerapp.com/custom-stickers"">Print stickers</a></p>","Unfortunately we do not offer a blind shipping option. However, we can pack your stickers without any StickerApp branding material.
Please send an email if you are interested in this option for your shipments.
Sticker materials Print stickers"
15,us,19,How fast can I have my stickers?,how-fast-can-i-have-my-order,delivery,https://stickerapp.com/support/delivery/how-fast-can-i-have-my-order,"<p>You can order your custom stickers with our express option which means express shipping and handling.</p>
<p>This usually takes 4-6 days from the time of placing the order. Standard shipping and handling are typically around 10-14 days.</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Our sticker materials"" href=""https://stickerapp.com/materials"">Sticker materials</a> <a class=""btn btn-primary"" title=""Print custom stickers"" href=""https://stickerapp.com/custom-stickers"">Print stickers</a></p>","You can order your custom stickers with our express option which means express shipping and handling.
This usually takes 4-6 days from the time of placing the order. Standard shipping and handling are typically around 10-14 days.
Sticker materials Print stickers"
15,us,20,Can I edit my address after placing my order?,can-i-edit-my-address,delivery,https://stickerapp.com/support/delivery/can-i-edit-my-address,"<p>Yes we can update your shipping address if your order has not been dispatched yet.</p>
<p>Simply send us an email with the updated address and your order number and we will change it for you.</p>
<p>Don't forget your apartment number if you have one!</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Our sticker materials"" href=""https://stickerapp.com/materials"">Sticker materials</a> <a class=""btn btn-primary"" title=""Print custom stickers"" href=""https://stickerapp.com/custom-stickers"">Print stickers</a></p>","Yes we can update your shipping address if your order has not been dispatched yet.
Simply send us an email with the updated address and your order number and we will change it for you.
Don't forget your apartment number if you have one!
Sticker materials Print stickers"
15,us,21,What if my package is lost?,what-if-my-package-is-lost,delivery,https://stickerapp.com/support/delivery/what-if-my-package-is-lost,"<p>If your package is lost and cannot be recovered, we will have to reprint your stickers and reship it.</p>
<p>Please email us if it appears that your package is lost.&nbsp;</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Our sticker materials"" href=""https://stickerapp.com/materials"">Sticker materials</a> <a class=""btn btn-primary"" title=""Print custom stickers"" href=""https://stickerapp.com/custom-stickers"">Print stickers</a></p>","If your package is lost and cannot be recovered, we will have to reprint your stickers and reship it.
Please email us if it appears that your package is lost. 
Sticker materials Print stickers"
12,us,22,Do you have a reseller program? ,do-we-have-a-reseller-program,your-account,https://stickerapp.com/support/your-account/do-we-have-a-reseller-program,"<p>No we do not give special discounts for frequent buyers.</p>
<p>Since we have many returning customers as well as new, we treat all customers the same.&nbsp;</p>","No we do not give special discounts for frequent buyers.
Since we have many returning customers as well as new, we treat all customers the same. "
8,us,23,Can we make stickers without the white border?,can-we-make-stickers-without-the-white-boarder,cutlines,https://stickerapp.com/support/cutlines/can-we-make-stickers-without-the-white-boarder,"<p><strong>Yes we can.</strong> You can choose a background color, or stretch your artwork to create a bleed, or include your own cutline on the artwork.</p>
<p>Please include a 0.075"" bleed for the cutline for our error margins.</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes we can. You can choose a background color, or stretch your artwork to create a bleed, or include your own cutline on the artwork.
Please include a 0.075"" bleed for the cutline for our error margins.
Make custom stickers"
3,us,24,Can you print gradients on stickers?,can-we-print-gradients,preparing-files,https://stickerapp.com/support/preparing-files/can-we-print-gradients,"<p>Yes, gradients are no problem for us to print! Here are some examples.</p>
[InstagramGallery account=""stickerapp"" title="""" tag="""" limit=""1"" cols=""4"" selected=""3510,3423,3403""]
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes, gradients are no problem for us to print! Here are some examples.
[InstagramGallery account=""stickerapp"" title="""" tag="""" limit=""1"" cols=""4"" selected=""3510,3423,3403""]
Make custom stickers"
3,us,25,Can you help me touch up my art?,can-we-help-me-touch-up-your-art,preparing-files,https://stickerapp.com/support/preparing-files/can-we-help-me-touch-up-your-art,"<p>We do offer some assistance for helping you prepare your files for printing.</p>
<p>You can send us your highest resolution file and we can see what we can do to help you fix it or change it how you would like. Send us an email with your file and desired changes and we will see how we can help.</p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","We do offer some assistance for helping you prepare your files for printing.
You can send us your highest resolution file and we can see what we can do to help you fix it or change it how you would like. Send us an email with your file and desired changes and we will see how we can help.
Make custom stickers"
67,us,27,Are the stickers weatherproof?,are-the-custom-stickers-weather-proof,custom-sticker-materials,https://stickerapp.com/support/custom-sticker-materials/are-the-custom-stickers-weather-proof,"<p><strong>Yes, all sticker materials are 2-4 year weatherproof.*</strong></p>
<p>This means they will hold up in the rain, sun, snow, dishwashers, microwaves, etc. The sticker is protected by an ultra-thin polyester film. Our <a title=""Custom Weatherproof stickers"" href=""https://stickerapp.com/usages/weatherproof-stickers"">custom stickers are weatherproof </a>- Which makes them UV-resistant, Waterproof, scratchproof, fadeproof - Perfekt for ie <a title=""Custom skateboard stickers"" href=""https://stickerapp.com/usages/skateboard-stickers"">Skateboard stickers</a></p>
<p>Kraft paper is uncoated and is not waterproof. Wall stickers are also uncoated, it will not be damaged by water, but the print is not as protected from scratches and UV light. Matte stickers are weatherproof, but not UV-protected so they will fade faster in sunlight than our glossy stickers.</p>
<p>Just make sure to apply your stickers at a temperate <span style=""font-weight: 400;"">temperature&nbsp;</span>and on a dry surface.&nbsp;</p>
<p>*<em>with the exception of kraft paper, wall stickers and matte stickers</em></p>
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Yes, all sticker materials are 2-4 year weatherproof.*
This means they will hold up in the rain, sun, snow, dishwashers, microwaves, etc. The sticker is protected by an ultra-thin polyester film. Our custom stickers are weatherproof - Which makes them UV-resistant, Waterproof, scratchproof, fadeproof - Perfekt for ie Skateboard stickers
Kraft paper is uncoated and is not waterproof. Wall stickers are also uncoated, it will not be damaged by water, but the print is not as protected from scratches and UV light. Matte stickers are weatherproof, but not UV-protected so they will fade faster in sunlight than our glossy stickers.
Just make sure to apply your stickers at a temperate temperature and on a dry surface. 
*with the exception of kraft paper, wall stickers and matte stickers
Make custom stickers"
67,us,28,Can I get samples of your sticker materials?,can-i-get-sample-of-the-sticker-materials,custom-sticker-materials,https://stickerapp.com/support/custom-sticker-materials/can-i-get-sample-of-the-sticker-materials,"<p>You can order samples of the different custom sticker materials on the <a href=""https://stickerapp.com/materials"">materials page</a>. This will give you all of the different materials we offer. In the sample sticker pack, you'll get vinyl, holographic, glow-in-the-dark, glitter, clear, mirror, prismatic and more to make the right choice for your needs.&nbsp;</p>
<center><iframe title=""NEW sticker sample pack ✨"" src=""https://www.youtube.com/embed/8I1tU2-MisM"" width=""447"" height=""795"" frameborder=""0"" allowfullscreen=""allowfullscreen""></iframe></center>
<p class=""text-center""><a class=""btn btn-primary"" href=""https://stickerapp.com/sticker-packs/sample-pack"">order a sample pack</a></p>
<h2>Custom Stickers - larger orders</h2>
<p>If you plan on making a <a title=""Make Custom stickers"" href=""https://stickerapp.com/custom-stickers"">larger order for custom stickers</a>, you can also make a minimum order first to test your custom design. We do not have a maximum number of stickers you can order - so feel free to go bananas.</p>","You can order samples of the different custom sticker materials on the materials page. This will give you all of the different materials we offer. In the sample sticker pack, you'll get vinyl, holographic, glow-in-the-dark, glitter, clear, mirror, prismatic and more to make the right choice for your needs. 

order a sample pack
Custom Stickers - larger orders
If you plan on making a larger order for custom stickers, you can also make a minimum order first to test your custom design. We do not have a maximum number of stickers you can order - so feel free to go bananas."
67,us,29,What is your most popular custom sticker material?,what-is-your-most-popular-custom-sticker-material,custom-sticker-materials,https://stickerapp.com/support/custom-sticker-materials/what-is-your-most-popular-custom-sticker-material,"<p class=""lead"">Our most popular material for stickers is regular white glossy vinyl.</p>
<p>This material performs very well in print and is also the material that offers the best price and lowest minimum order. Our glossy vinyl is also weather resistant for 2-4 years and is equally suitable for indoor and outdoor use.</p>
<h2>Different materials for stickers &amp; labels</h2>
<p>There are lots of materials to choose from when making your own personalized sticker. All of them have their advantages, such as a glow-in-the-dark sticker that can light up the ceiling in the children's room or show the way out at night. We also offer lovely glittery materials and holographic stickers that create a truly unique design for your sticker. If you're looking for wall stickers to put up in your kitchen, bathroom or office walls to display your logo, you've come to the right place. Create stylish stickers with your branding today. If you want to put your name or company on, for example, the bottle of home-brewed beer, or the snuff box, or if you need to label many things, we have labels with white and transparent backgrounds.</p>
<h3>In which materials can you get your stickers?</h3>
<p>What should you use stickers for? Whether it's for a children's party, as a business card or just because you want to make a nice sticker, you'll find what you're looking for! Explore all our <a href=""https://stickerapp.com/materials"">sticker materials</a> here.</p>
<p>We would also like to recommend our prismatic stickers or why not paper stickers made from recycled paper. Very nice and different stickers that are perfect for labeling boxes, glass jars and cabinets in the rustic home. But keep in mind that paper and wetness don't go well together, so keep them dry!</p>
[InstagramGallery cols=""4"" selected=""3573,3520,3510,3502""]
<p class=""text-center""><a class=""btn btn-primary"" title=""Make custom stickers"" href=""https://stickerapp.com/custom-stickers"">Make custom stickers</a></p>","Our most popular material for stickers is regular white glossy vinyl.
This material performs very well in print and is also the material that offers the best price and lowest minimum order. Our glossy vinyl is also weather resistant for 2-4 years and is equally suitable for indoor and outdoor use.
Different materials for stickers & labels
There are lots of materials to choose from when making your own personalized sticker. All of them have their advantages, such as a glow-in-the-dark sticker that can light up the ceiling in the children's room or show the way out at night. We also offer lovely glittery materials and holographic stickers that create a truly unique design for your sticker. If you're looking for wall stickers to put up in your kitchen, bathroom or office walls to display your logo, you've come to the right place. Create stylish stickers with your branding today. If you want to put your name or company on, for example, the bottle of home-brewed beer, or the snuff box, or if you need to label many things, we have labels with white and transparent backgrounds.
In which materials can you get your stickers?
What should you use stickers for? Whether it's for a children's party, as a business card or just because you want to make a nice sticker, you'll find what you're looking for! Explore all our sticker materials here.
We would also like to recommend our prismatic stickers or why not paper stickers made from recycled paper. Very nice and different stickers that are perfect for labeling boxes, glass jars and cabinets in the rustic home. But keep in mind that paper and wetness don't go well together, so keep them dry!
[InstagramGallery cols=""4"" selected=""3573,3520,3510,3502""]
Make custom stickers"
